['yingtan', u'2016-01-26 23:00:00', u'\u4e09\u5ddd\u6c34\u8868', u'93', u'\u826f', '-', u'69', u'136', u'0.652', u'52', u'18', u'35', u'42']
['tongling', u'2016-01-26 23:00:00', u'\u5e02\u804c\u6559\u57fa\u5730', u'77', u'\u826f', u'\u9897\u7c92\u7269(PM10)', u'47', u'103', u'1.207', u'91', u'7', u'35', u'15']
['linzhidiqu', u'2016-01-26 23:00:00', u'\u6797\u829d\u4eba\u6c11\u533b\u9662', u'_', '-', u'_', u'_', u'_', u'_', u'_', u'_', u'_', u'_']
['xingtai', u'2016-01-26 23:00:00', u'\u5e02\u73af\u4fdd\u5c40', u'127', u'\u8f7b\u5ea6\u6c61\u67d3', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'96', u'144', u'2.528', u'93', u'5', u'27', u'130']
['huaibei', u'2016-01-26 23:00:00', u'\u804c\u4e1a\u6280\u672f\u5b66\u9662', u'90', u'\u826f', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'67', u'111', u'1.299', u'101', u'13', u'32', u'60']
['tianshui', u'2016-01-26 23:00:00', u'\u6587\u5316\u9986', u'53', u'\u826f', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'37', u'52', u'1.271', u'39', u'55', u'59', u'16']
['tachengdiqu', u'2016-01-26 23:00:00', u'\u4e1c\u95e8\u5916\u5c0f\u6e38\u56ed', u'79', u'\u826f', u'\u9897\u7c92\u7269(PM10)', u'38', u'108', u'2.619', u'32', u'35', u'71', u'3']
['zhangzhou', u'2016-01-26 23:00:00', u'\u4e5d\u6e56', u'62', u'\u826f', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'44', u'51', u'0.537', u'25', u'72', u'73', u'20']
['guangzhou', u'2016-01-26 23:00:00', u'\u4f53\u80b2\u897f', u'49', u'\u4f18', u'_', u'34', u'41', u'1.027', u'72', u'3', u'8', u'4']
['wuhan', u'2016-01-26 23:00:00', u'\u6c89\u6e56\u4e03\u58d5', u'79', u'\u826f', u'\u9897\u7c92\u7269(PM10)', u'43', u'108', u'0.479', u'35', u'37', u'72', u'8']
['wuhai', u'2016-01-26 23:00:00', u'\u4e2d\u6d77\u52c3\u6e7e\u5b66\u6821', u'168', u'\u4e2d\u5ea6\u6c61\u67d3', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'127', u'171', u'1.417', u'64', u'10', u'38', u'119']
['changzhi', u'2016-01-26 23:00:00', u'\u5fb7\u76db\u82d1', u'89', u'\u826f', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'66', u'75', u'1.5', u'54', u'41', u'64', u'266']
['chongqing', u'2016-01-26 23:00:00', u'\u5357\u6cc9', u'98', u'\u826f', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'73', u'97', u'0.817', u'70', u'5', u'13', u'19']
['fuyang', u'2016-01-26 23:00:00', u'\u961c\u9633\u804c\u4e1a\u6280\u672f\u5b66\u9662', u'130', u'\u8f7b\u5ea6\u6c61\u67d3', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'99', u'111', u'0.93', u'80', u'20', u'33', u'27']
['hengshui', u'2016-01-26 23:00:00', u'\u5e02\u73af\u4fdd\u5c40', u'138', u'\u8f7b\u5ea6\u6c61\u67d3', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'105', u'122', u'2.546', u'83', u'18', u'38', u'96']
['eerduosi', u'2016-01-26 23:00:00', u'\u5965\u6797\u82b1\u56ed', u'57', u'\u826f', u'\u9897\u7c92\u7269(PM10)', u'35', u'64', u'1.923', u'73', u'7', u'40', u'62']
['hulunbeier', u'2016-01-26 23:00:00', u'\u5e02\u827a\u6821', u'35', u'\u4f18', u'_', u'24', u'32', u'0.346', u'10', u'54', u'52', u'14']
['linan', u'2016-01-26 23:00:00', u'\u56db\u4e2d', u'68', u'\u826f', u'\u9897\u7c92\u7269(PM10)', u'41', u'86', u'1.041', u'80', u'56', u'73', u'3']
['changzhou', u'2016-01-26 23:00:00', u'\u5b89\u5bb6', u'102', u'\u8f7b\u5ea6\u6c61\u67d3', u'\u9897\u7c92\u7269(PM10)', u'60', u'154', u'0.938', u'96', u'8', u'34', u'35']
['luoyang', u'2016-01-26 23:00:00', u'\u5e02\u59d4\u65b0\u529e\u516c\u533a', u'144', u'\u8f7b\u5ea6\u6c61\u67d3', u'\u7ec6\u9897\u7c92\u7269(PM2.5)', u'110', u'219', u'2.011', u'106', u'22', u'34', u'92']
['nanjing', u'2016-01-26 23:00:00', u'\u4ed9\u6797\u5927\u5b66\u57ce', u'96', u'\u826f', u'\u9897\u7c92\u7269(PM10)', u'58', u'142', u'1.229', u'114', u'26', u'34', u'25']
